Date of rally,City,State,Venue,Estimated attendance,Source
"Monday, February 11, 2019",El Paso,TX,El Paso County Coliseum,"6,000",[445]
"Thursday, March 28, 2019",Grand Rapids,MI,Van Andel Arena,"14,000",[446]
"Saturday, April 27, 2019",Green Bay,WI,Resch Center,"10,000",[447]
"Wednesday, May 8, 2019",Panama City Beach,FL,Aaron Bessant Park Amphitheater,"7,500",[448]
"Monday, May 20, 2019",Montoursville,PA,Williamsport Regional Airport,"15,000",[449]
"Tuesday, June 18, 2019",Orlando,FL,Amway Center,"20,000",[450]
"Wednesday, July 17, 2019",Greenville,NC,Williams Arena,"8,000",[451]
"Thursday, August 1, 2019",Cincinnati,OH,U.S. Bank Arena,"17,500",[452]
"Thursday, August 15, 2019",Manchester,NH,SNHU Arena,"11,000",[453]
"Monday, September 9, 2019",Fayetteville,NC,Crown Expo Center,"5,500",[454]
"Monday, September 16, 2019",Rio Rancho,NM,Santa Ana Star Center,"8,000",[455]
"Thursday, October 10, 2019",Minneapolis,MN,Target Center,"20,000",[456]
"Thursday, October 17, 2019",Dallas,TX,American Airlines Center,"21,000",[457]
"Tuesday, November 26, 2019",Sunrise,FL,"BB&T Center (Sunrise, Florida)","20,000",[458]
"Tuesday, December 10, 2019",Hershey,PA,Giant Center,"12,000",[459]
"Wednesday, December 18, 2019",Battle Creek,MI,Kellogg Arena,"5,400",[460]
"Thursday, January 9, 2020",Toledo,OH,Huntington Center,"8,000",[461]
"Tuesday, January 14, 2020",Milwaukee,WI,UW每Milwaukee Panther Arena,"12,000",[462]
"Tuesday, January 28, 2020",Wildwood,NJ,Wildwoods Convention Center,"7,500",[463]
"Thursday, January 30, 2020",Des Moines,IA,Knapp Center,"7,600",[464]
"Monday, February 10, 2020",Manchester,NH,SNHU Arena,"12,000",[465]
"Wednesday, February 19, 2020",Phoenix,AZ,Arizona Veterans Memorial Coliseum,"14,000",[466]
"Thursday, February 20, 2020",Colorado Springs,CO,Broadmoor World Arena,"8,500",[467]
"Friday, February 21, 2020",Las Vegas,NV,Las Vegas Convention Center,"15,000",[468]
"Friday, February 28, 2020",North Charleston,SC,North Charleston Coliseum,"13,000",[469]
"Monday, March 2, 2020",Charlotte,NC,Bojangles' Coliseum,"10,000",[470]
"Saturday, June 20, 2020",Tulsa,OK,BOK Center,"6,200",[471]
"Tuesday, June 23, 2020",Phoenix,AZ,Dream City Church,"3,000",[472]
"Monday, August 17, 2020",Mankato,MN,Mankato Regional Airport,,[473]
"Monday, August 17, 2020",Oshkosh,WI,Wittman Regional Airport,,[474]
"Tuesday, August 18, 2020",Yuma,AZ,Yuma International Airport,,[475]
"Thursday, August 20, 2020",Old Forge,PA,Mariotti Building Products,,[476]
"Friday, August 28, 2020",Londonderry,NH,Manchester-Boston Regional Airport,,[477]
"Thursday, September 3, 2020",Latrobe,PA,Arnold Palmer Regional Airport,,[478]
"Tuesday, September 8, 2020",Winston-Salem,NC,Smith Reynolds Airport,,[479]
"Thursday, September 10, 2020",Freeland,MI,MBS International Airport,,[480]
"Saturday, September 12, 2020",Minden,NV,Minden每Tahoe Airport,,[481]
"Sunday, September 13, 2020",Henderson,,Xtreme Manufacturing,,[482]
"Thursday, September 17, 2020",Mosinee,WI,Central Wisconsin Airport,,
"Friday, September 18, 2020",Bemidji,MN,Bemidji Regional Airport,,[483]
"Saturday, September 19, 2020",Fayetteville,NC,Fayetteville Regional Airport,,[484]
"Monday, September 21, 2020",Vandalia,OH,Dayton International Airport,,[485]
"Monday, September 21, 2020",Swanton,,Toledo Express Airport,,[486]
"Tuesday, September 22, 2020",Moon Township,PA,Pittsburgh International Airport,,[487]
"Thursday, September 24, 2020",Jacksonville,FL,Cecil Airport,,[488]
"Friday, September 25, 2020",Newport News,VA,Newport News/Williamsburg International Airport,,[489]
"Saturday, September 26, 2020",Middletown,PA,Harrisburg International Airport,,[490]
"Wednesday, September 30, 2020",Duluth,MN,Duluth International Airport,,[491]
"Monday, October 12, 2020",Sanford,FL,Orlando Sanford International Airport,,[492]
"Tuesday, October 13, 2020",Johnstown,PA,John Murtha Johnstown-Cambria County Airport,,[493]
"Wednesday, October 14, 2020",Des Moines,IA,Des Moines International Airport,,[493]
"Thursday, October 15, 2020",Greenville,NC,Pitt-Greenville Airport,,[494]
"Friday, October 16, 2020",Ocala,FL,Ocala International Airport,,[495]
"Friday, October 16, 2020",Macon,GA,Middle Georgia Regional Airport,,[496]
"Saturday, October 17, 2020",Muskegon,MI,Muskegon County Airport,,[497]
"Saturday, October 17, 2020",Janesville,WI,Southern Wisconsin Regional Airport,,[498]
"Sunday, October 18, 2020",Carson City,NV,Carson City Airport,,[499]
"Monday, October 19, 2020",Prescott,AZ,Prescott Regional Airport,,[500]
"Monday, October 19, 2020",Tucson,,Tucson International Airport,,
"Tuesday, October 20, 2020",Erie,PA,Erie International Airport,,[501]
"Wednesday, October 21, 2020",Gastonia,NC,Gastonia Municipal Airport,,[502]
"Friday, October 23, 2020",The Villages,FL,The Villages Polo Club,,[503]
"Friday, October 23, 2020",Pensacola,,Pensacola International Airport,,
"Saturday, October 24, 2020",Lumberton,NC,Robeson County Fairgrounds,,[504]
"Saturday, October 24, 2020",Circleville,OH,Pickaway Agriculture and Event Center,,[505]
"Saturday, October 24, 2020",Waukesha,WI,Waukesha County Airport,,[506]
"Sunday, October 25, 2020",Manchester,NH,Manchester每Boston Regional Airport,,[507]
"Monday, October 26, 2020",Allentown,PA,HoverTech International,,
"Monday, October 26, 2020",Lititz,,Lancaster Airport,,[508]
"Monday, October 26, 2020",Martinsburg,,Altoona每Blair County Airport,,[509]
"Tuesday, October 27, 2020",Lansing,MI,Capital Region International Airport,,[510]
"Tuesday, October 27, 2020",West Salem,WI,La Crosse Fairgrounds Speedway,,[511]
"Tuesday, October 27, 2020",Omaha,NE,Eppley Airfield,,[512]
"Wednesday, October 28, 2020",Bullhead City,AZ,Laughlin/Bullhead International Airport,,[513]
"Wednesday, October 28, 2020",Goodyear,AZ,Phoenix Goodyear Airport,,[514]
"Thursday, October 29, 2020",Tampa,FL,Raymond James Stadium,,[515]
"Thursday, October 29, 2020",Fayetteville,NC,Fayetteville Regional Airport,,[516]
"Friday, October 30, 2020",Waterford Township,MI,Oakland County International Airport,,[517]
"Friday, October 30, 2020",Green Bay,WI,Green Bay每Austin Straubel International Airport,,[518]
"Friday, October 30, 2020",Rochester,MN,Rochester International Airport,,[519]
"Saturday, October 31, 2020",Newtown,PA,The Keith House,,
"Saturday, October 31, 2020",Reading,,Reading Regional Airport,,[520]
"Saturday, October 31, 2020",Butler,,Pittsburgh-Butler Regional Airport,,[521]
"Saturday, October 31, 2020",Montoursville,,Williamsport Regional Airport,,
"Sunday, November 1, 2020",Washington,MI,Michigan Stars Sports Center,,[522]
"Sunday, November 1, 2020",Dubuque,IA,Dubuque Regional Airport,,
"Sunday, November 1, 2020",Hickory,NC,Hickory Regional Airport,,
"Sunday, November 1, 2020",Rome,GA,Richard B. Russell Airport,,[522]
"Sunday, November 1, 2020",Opa-locka,FL,Miami-Opa Locka Executive Airport,,[522]
"Monday, November 2, 2020",Fayetteville,NC,Fayetteville Regional Airport,,
"Monday, November 2, 2020",Scranton,PA,Wilkes-Barre Scranton International Airport,,[522]
"Monday, November 2, 2020",Traverse City,MI,Cherry Capital Airport,,
"Monday, November 2, 2020",Kenosha,WI,Kenosha Regional Airport,,
"Monday, November 2, 2020",Grand Rapids,MI,Gerald R. Ford International Airport,,[522]
